count,Region,destination,amount,year,Key
753,Waikato,Nelson Marlborough,17,2016,1
755,Bay of Plenty,Nelson Marlborough,11,2016,1
757,Taranaki,Nelson Marlborough,5,2016,1
760,Manawatu-Wanganui,Nelson Marlborough,8,2016,1
764,Tasman-Nelson-Marlborough,Nelson Marlborough,5162,2016,1
766,Canterbury,Nelson Marlborough,207,2016,1
768,Otago,Nelson Marlborough,0,2016,1
769,Southland,Nelson Marlborough,56,2016,1
771,Northland,West Coast,1,2016,1
773,Auckland,West Coast,7,2016,1
775,Waikato,West Coast,5,2016,1
777,Bay of Plenty,West Coast,3,2016,1
779,Taranaki,West Coast,0,2016,1
782,Manawatu-Wanganui,West Coast,1,2016,1
786,Tasman-Nelson-Marlborough,West Coast,35,2016,1
788,Canterbury,West Coast,78,2016,1
790,Otago,West Coast,0,2016,1
791,Southland,West Coast,20,2016,1
793,Northland,Canterbury,38,2016,1
795,Auckland,Canterbury,56,2016,1
797,Waikato,Canterbury,50,2016,1
799,Bay of Plenty,Canterbury,28,2016,1
801,Taranaki,Canterbury,21,2016,1
804,Manawatu-Wanganui,Canterbury,12,2016,1
808,Tasman-Nelson-Marlborough,Canterbury,264,2016,1
810,Canterbury,Canterbury,13129,2016,1
812,Otago,Canterbury,0,2016,1
813,Southland,Canterbury,343,2016,1
815,Northland,South Canterbury,1,2016,1
817,Auckland,South Canterbury,7,2016,1
819,Waikato,South Canterbury,9,2016,1
821,Bay of Plenty,South Canterbury,6,2016,1
823,Taranaki,South Canterbury,1,2016,1
826,Manawatu-Wanganui,South Canterbury,2,2016,1
830,Tasman-Nelson-Marlborough,South Canterbury,17,2016,1
832,Canterbury,South Canterbury,146,2016,1
834,Otago,South Canterbury,0,2016,1
835,Southland,South Canterbury,87,2016,1
837,Northland,Southern,15,2016,1
839,Auckland,Southern,40,2016,1
841,Waikato,Southern,24,2016,1
843,Bay of Plenty,Southern,10,2016,1
845,Taranaki,Southern,10,2016,1
848,Manawatu-Wanganui,Southern,4,2016,1
852,Tasman-Nelson-Marlborough,Southern,49,2016,1
854,Canterbury,Southern,216,2016,1
856,Otago,Southern,0,2016,1
857,Southland,Southern,9332,2016,1
859,Northland,Waitematā,760,2017,1
861,Auckland,Waitematā,6094,2017,1
863,Waikato,Waitematā,495,2017,1
865,Bay of Plenty,Waitematā,186,2017,1
867,Taranaki,Waitematā,53,2017,1
870,Manawatu-Wanganui,Waitematā,31,2017,1
874,Tasman-Nelson-Marlborough,Waitematā,46,2017,1
876,Canterbury,Waitematā,118,2017,1
878,Otago,Waitematā,0,2017,1
879,Southland,Waitematā,73,2017,1
881,Northland,Auckland,229,2017,1
883,Auckland,Auckland,11133,2017,1
885,Waikato,Auckland,284,2017,1
887,Bay of Plenty,Auckland,148,2017,1
889,Taranaki,Auckland,46,2017,1
892,Manawatu-Wanganui,Auckland,18,2017,1
896,Tasman-Nelson-Marlborough,Auckland,26,2017,1
898,Canterbury,Auckland,87,2017,1
900,Otago,Auckland,0,2017,1
901,Southland,Auckland,55,2017,1
903,Northland,Counties Manukau,136,2017,1
905,Auckland,Counties Manukau,1246,2017,1
907,Waikato,Counties Manukau,253,2017,1
