Measure,,,Average Wage and Salary Income,,Average Self-employment Income,,Average Government Transfer Income,,Average Income from All Sources collected,,Median Wage and Salary Income,,Median Self-employment Income,,Median Government Transfer Income,,Median Income from All Sources collected,,Number of households (000),
Year,Region,,,,,,,,,,,,,,,,,,,
,  Canterbury Region,,,1088,,172,,107,,1362,,981,,0,,0,,1203,,189.9
,  Otago Region,,,1001,,185,,121,,1307,,901,,0,,0,,1123,,67.5
,  Southland Region,,,968,,177,,101,,1246,,880,,0,,0,,1107,,33
2010,Total Regions,,,1094,,202,,128,,1421,,924,,0,,0,,1199,,1433.3
,  Northland Region,,,857,,169,,164,,1181,,740,,0,,0,,972,,51.9
,  Auckland Region,,,1188,,196,,137,,1519,,959,,0,,0,,1244,,464.7
,  Waikato Region,,,975,,208,,130,,1308,,863,,0,,0,,1151,,133.4
,  Bay of Plenty Region,,,929,,230,,156,,1309,,806,,0,,0,,1186,,85.1
,  Gisborne/Hawkes Bay Regions,,,929,,172,,145,,1246,,770,,0,,0,,1036,,65.7
,  Taranaki Region,,,1039,,269,,110,,1412,,908,,0,,0,,1189,,35.7
,  Manawatu-Wanganui Region,,,935,,150,,148,,1233,,863,,0,,0,,1050,,76.5
,  Wellington Region,,,1306,,249,,98,,1653,,1151,,0,,0,,1343,,164.4
,  Tasman/Nelson/Marlborough/West Coast Regions,,,990,,199,,111,,1299,,882,,0,,0,,1176,,57.7
,  Canterbury Region,,,1088,,187,,112,,1383,,950,,0,,0,,1231,,195.6
,  Otago Region,,,1044,,206,,110,,1358,,965,,0,,0,,1247,,70.2
,  Southland Region,,,1079,,217,,98,,1386,,948,,0,,0,,1207,,32.4
2011,Total Regions,,,1124,,200,,133,,1456,,959,,0,,0,,1243,,1428.1
,  Northland Region,,,797,,234,,175,,1204,,568,,0,,0,,964,,52.9
,  Auckland Region,,,1271,,191,,138,,1600,,1055,,0,,0,,1381,,466.1
,  Waikato Region,,,1048,,194,,130,,1368,,875,,0,,0,,1150,,133.9
,  Bay of Plenty Region,,,938,,197,,158,,1292,,853,,0,,0,,1170,,85.2
,  Gisborne/Hawkes Bay Regions,,,940,,124,,160,,1222,,829,,0,,0,,1070,,65.3
,  Taranaki Region,,,997,,237,,122,,1356,,888,,0,,0,,1166,,36.1
,  Manawatu-Wanganui Region,,,901,,163,,136,,1201,,790,,0,,0,,1025,,77.9
,  Wellington Region,,,1344,,188,,112,,1639,,1112,,0,,0,,1367,,161.1
,  Tasman/Nelson/Marlborough/West Coast Regions,,,1017,,216,,123,,1353,,900,,0,,0,,1182,,57.1
,  Canterbury Region,,,1067,,238,,127,,1429,,939,,0,,0,,1212,,189
,  Otago Region,,,1042,,231,,108,,1379,,960,,0,,0,,1214,,70.8
,  Southland Region,,,1007,,250,,115,,1364,,880,,0,,0,,1261,,32.8
2012,Total Regions,,,1144,,210,,138,,1486,,959,,0,,0,,1268,,1439.8
,  Northland Region,,,783,,164,,183,,1112,,542,,0,,14,,948,,54
,  Auckland Region,,,1306,,220,,138,,1656,,1070,,0,,0,,1366,,475.7
,  Waikato Region,,,1052,,302,,147,,1499,,882,,0,,0,,1219,,133.2
,  Bay of Plenty Region,,,993,,188,,164,,1340,,840,,0,,0,,1162,,82.4
