Region,destination,amount,year
Taranaki,Waitematā,36,2018
Manawatu-Wanganui,Waitematā,30,2018
Tasman-Nelson-Marlborough,Waitematā,39,2018
Canterbury,Waitematā,77,2018
Otago,Waitematā,0,2018
Southland,Waitematā,62,2018
Northland,Auckland,204,2018
Auckland,Auckland,11170,2018
Waikato,Auckland,257,2018
Bay of Plenty,Auckland,134,2018
Taranaki,Auckland,44,2018
Manawatu-Wanganui,Auckland,18,2018
Tasman-Nelson-Marlborough,Auckland,27,2018
Canterbury,Auckland,70,2018
Otago,Auckland,0,2018
Southland,Auckland,70,2018
Northland,Counties Manukau,121,2018
Auckland,Counties Manukau,1303,2018
Waikato,Counties Manukau,202,2018
Bay of Plenty,Counties Manukau,71,2018
Taranaki,Counties Manukau,30,2018
Manawatu-Wanganui,Counties Manukau,11,2018
Tasman-Nelson-Marlborough,Counties Manukau,16,2018
Canterbury,Counties Manukau,42,2018
Otago,Counties Manukau,0,2018
Southland,Counties Manukau,24,2018
Northland,Waikato,65,2018
Auckland,Waikato,153,2018
Waikato,Waikato,12342,2018
Bay of Plenty,Waikato,389,2018
Taranaki,Waikato,109,2018
Manawatu-Wanganui,Waikato,33,2018
Tasman-Nelson-Marlborough,Waikato,14,2018
Canterbury,Waikato,40,2018
Otago,Waikato,0,2018
Southland,Waikato,45,2018
Northland,Lakes,8,2018
Auckland,Lakes,19,2018
Waikato,Lakes,107,2018
Bay of Plenty,Lakes,92,2018
Taranaki,Lakes,7,2018
Manawatu-Wanganui,Lakes,7,2018
Tasman-Nelson-Marlborough,Lakes,3,2018
Canterbury,Lakes,4,2018
Otago,Lakes,0,2018
Southland,Lakes,6,2018
Northland,Bay of Plenty,24,2018
Auckland,Bay of Plenty,63,2018
Waikato,Bay of Plenty,242,2018
Bay of Plenty,Bay of Plenty,8823,2018
Taranaki,Bay of Plenty,20,2018
Manawatu-Wanganui,Bay of Plenty,11,2018
Tasman-Nelson-Marlborough,Bay of Plenty,10,2018
Canterbury,Bay of Plenty,22,2018
Otago,Bay of Plenty,0,2018
Southland,Bay of Plenty,15,2018
Northland,Tairāwhiti,2,2018
Auckland,Tairāwhiti,5,2018
Waikato,Tairāwhiti,13,2018
Bay of Plenty,Tairāwhiti,9,2018
Taranaki,Tairāwhiti,1,2018
